source,dataset,model,condition,run,case_idx,ground_truth,prediction,direction_pred,matches_gt,correct,is_faithful,confidence,error_count,categories,subtypes,explanation,primary_category,primary_subtype,premise_contradiction,premise_contradiction_note,error_message
fabrication,folio,gpt-5,,1,177,True,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The axiom A directly states the conclusion that needs to be proven. The conclusion 'The United States won the most medals in the last summer Olympic games' should be derived from the premises (that the last summer Olympics was in Tokyo and the US won the most medals in Tokyo), not assumed as an axiom.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,34,Uncertain,Uncertain,,,,False,LOW,0,,,,FABRICATION,,False,,
fabrication,folio,gpt-5,,1,32,False,False,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,The conclusion 'Djokovic does not live in a tax haven' is stated as an axiom rather than being derived from the premises. This directly assumes what needs to be proven.,FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,181,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Tom is a grumpy person' is stated as an axiom rather than being derived from the premises. The conclusion should either be proven from the premises or left as an unproven theorem, not assumed as an axiom.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,194,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion that Descampe is in the six-way tie is introduced as an axiom. This is not stated in any premise - the premises only state that SOME person in the six-way tie is from Belgium, not that Descampe specifically is in the tie. The formalization explicitly acknowledges this by commenting that 'the conclusion is not derivable from the given premises'.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,51,False,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The axiom directly asserts the conclusion 'Basque is a Romance language' as a premise. This is not stated in any premise - in fact, the premises suggest Basque is NOT a Romance language since Basque is not related to any other language while Romance languages are all related to each other.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,123,True,Uncertain,,,,False,LOW,2,MISTRANSLATION|FABRICATION,WRONG_NEGATION|CONCLUSION_AS_AXIOM,"The premise states 'not a Tesla Model 3 or a single-seat electric car' meaning neither (¬TeslaModel3 ∨ ¬SingleSeatElectricCar), but the formalization has (¬TeslaModel3 ∨ SingleSeatElectricCar) with positive SingleSeatElectricCar instead of negated. | The conclusion '¬ SoloEV JohnsCar' is directly asserted as an axiom rather than being derived from the premises.",MISTRANSLATION,WRONG_NEGATION,False,,
fabrication,folio,gpt-5,,1,199,False,False,,,,False,LOW,1,FABRICATION,FABRICATED_CONTRADICTION,"This axiom directly asserts False, which has no basis in any premise. It was added solely to enable proving the conclusion via explosion (ex falso quodlibet). The actual premises establish that Ailton Silva plays for Náutico (P3_plays) and Náutico is a football club (P4_club1), which directly contradicts the conclusion. The conclusion is actually false given the premises.",FABRICATION,FABRICATED_CONTRADICTION,False,,
fabrication,folio,gpt-5,,1,60,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,FABRICATED_INVENTED,"No premise states that Mike does not have a J1 visa. This axiom is invented to make the conclusion provable, but it has no basis in the given premises.",FABRICATION,FABRICATED_INVENTED,False,,
fabrication,folio,gpt-5,,1,66,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,The premises only state Yale's endowment is $42.3 billion. They never state this is the largest endowment among educational institutions. This axiom introduces external world knowledge (that $42.3B is the largest) that is not present in the premises.,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
fabrication,folio,gpt-5,,1,89,Uncertain,False,,,,False,LOW,2,FABRICATION|MISTRANSLATION,CONCLUSION_AS_AXIOM|WRONG_QUANTIFIER,"The conclusion 'A smarter person has gained knowledge' is directly stated as an axiom rather than being derived from the premises. The theorem is trivially proven by referencing this axiom. | The conclusion 'A smarter person has gained knowledge' should be existential (∃p, Person p ∧ Smarter p ∧ GainsKnowledge p) meaning 'there exists a smarter person who gained knowledge', not universal (∀p, Person p → Smarter p → GainsKnowledge p) meaning 'all smarter people have gained knowledge'.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,102,False,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Luke complains often about annoying siblings' is directly added as an axiom. This is explicitly acknowledged in the comment as being added 'to close the proof' because it's not derivable. The conclusion should be proven from the premises, not assumed.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,140,False,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,The conclusion that should be proven is directly assumed as an axiom. The code explicitly states 'the conclusion does not follow; we assume it here to complete the proof.' This makes the proof trivially circular.,FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,150,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Harry Potter was published by New Vessel Press' is assumed as an axiom rather than being proven. The premises contain no information about Harry Potter, so this conclusion should not be derivable. The formalization incorrectly assumes what it should prove.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
